x_comp,y_comp,z_comp
-0.00029,-0.997303,0.073397
0.000236,-0.994452,0.105186
-0.000244,-0.998639,0.05216
-0.000419,-0.998712,0.05074
0.000162,-0.994735,0.102482
0.00017,-0.992341,0.123528
-0.000214,-0.994665,0.103155
-2.1e-05,-0.995976,0.089615
-0.000319,-0.997779,0.066613
-0.000168,-0.99234,0.123536
-0.000268,-0.994875,0.101108
0.000566,-0.999198,0.040046
-0.00034,-0.995787,0.091697
0.00022,-0.999137,0.041543
0.000534,-0.997439,0.071522
-0.000393,-0.996012,0.089217
-0.000372,-0.995616,0.093533
0.00028,-0.992906,0.118905
0.000157,-0.996354,0.085321
-6.8e-05,-0.997773,0.066696
-0.000118,-0.997603,0.069199
-0.000174,-0.995092,0.09895
-0.000241,-0.996391,0.084878
-0.000218,-0.994993,0.099948
0.000265,-0.99411,0.108378
0.000424,-0.998267,0.058844
5e-05,-0.9981,0.061624
-5.9e-05,-0.992496,0.122279
0.000265,-0.994961,0.100261
-0.000264,-0.997004,0.077353
-0.000201,-0.993608,0.112887
-0.00021,-0.995803,0.091519
-0.000194,-0.995159,0.098276
-0.000391,-0.997126,0.075765
-0.000227,-0.993794,0.111239
-0.000371,-0.997078,0.076388
0.000347,-0.999332,0.036555
0.000219,-0.993128,0.117032
-0.000583,-0.997679,0.068086
-0.000289,-0.995205,0.097815
4.9e-05,-0.992112,0.125354
-0.000253,-0.993906,0.110226
-0.0,-0.992234,0.124388
-2.4e-05,-0.999007,0.044548
0.000283,-0.998198,0.060007
-0.000375,-0.996629,0.082043
0.000346,-0.997755,0.066969
0.000241,-0.99431,0.106523
0.000162,-0.992019,0.126091
-0.0,0.999968,0.008055
0.000226,-0.995267,0.097177
2.2e-05,-0.992809,0.119712
0.000283,-0.999881,0.015453
-0.000263,-0.999844,0.017678
-9.1e-05,-0.994553,0.104236
-0.000214,-0.993514,0.113711
-4e-06,-0.991867,0.12728
0.000246,-0.999022,0.044217
0.000219,-0.993215,0.116292
-0.000336,-0.996334,0.085544
-0.000364,-0.998031,0.062722
-0.000218,-0.993911,0.110184
-0.000204,-0.99349,0.113917
-0.000235,-0.993022,0.117933
-0.000229,-0.992466,0.12252
0.000436,-0.999947,0.010283
-3.9e-05,-0.996367,0.085162
0.000225,-0.994563,0.104135
-2.7e-05,-0.997599,0.069259
0.000352,-0.995793,0.091631
-0.000273,-0.997469,0.071108
2.7e-05,-0.996162,0.087531
-0.000275,-0.994506,0.104678
0.000284,-0.99679,0.080054
-0.000159,-0.992418,0.122908
9.3e-05,-0.999329,0.036619
0.00021,-0.993785,0.111318
-0.000366,-0.999882,0.015321
0.000373,-0.998876,0.047405
-0.000191,-0.995243,0.097426
4.4e-05,-0.995521,0.094539
-0.00026,-0.995134,0.098533
7.8e-05,-0.99473,0.102534
0.00024,-0.993837,0.11085
0.000168,-0.992597,0.121451
-0.000251,-0.993744,0.111684
-6.8e-05,-0.992551,0.121832
-9.3e-05,-0.9972,0.074785
-0.000358,-0.99613,0.087894
0.000188,-0.998358,0.057282
0.00049,-0.998714,0.050707
-0.000226,-0.994776,0.102085
0.000252,-0.993795,0.11123
-0.00041,-0.999491,0.031911
-7e-05,-0.997623,0.068914
-8.4e-05,-0.992675,0.120813
-0.000305,-0.998185,0.060214
-0.000405,-0.996231,0.086738
4.5e-05,-0.994872,0.101145
-3.6e-05,-0.991981,0.126386
0.000417,-0.998346,0.057483
-0.000325,-0.992714,0.120497
-0.000117,-0.995537,0.094377
0.000442,-0.997766,0.066801
0.000349,-0.998189,0.060148
5.3e-05,-0.99588,0.090678
-0.000437,-0.997865,0.065315
0.000105,-0.991968,0.126488
5.9e-05,-0.997072,0.076472
-0.000102,-0.991928,0.126799
-0.000107,-0.992731,0.120354
0.000241,-0.994016,0.109234
-6.9e-05,-0.991881,0.127168
0.000172,-0.993647,0.112543
-6.5e-05,-0.997956,0.063905
9.9e-05,-0.994014,0.109254
-0.0004,-0.998781,0.049356
0.000227,-0.993023,0.117922
0.00012,-0.996135,0.087838
4.7e-05,-0.997949,0.064011
0.000168,-0.993573,0.113198
-0.000114,-0.994836,0.101499
9.7e-05,-0.993612,0.112852
-0.000285,-0.998664,0.051681
-0.000267,-0.992841,0.119446
-6e-05,-0.998641,0.052111
0.00025,-0.998664,0.051672
-0.000341,-0.998819,0.048581
-0.000249,-0.993834,0.110873
0.000308,-0.995373,0.096084
-0.000198,-0.994718,0.102643
0.000251,-0.995637,0.093309
0.000272,-0.99589,0.090565
0.000233,-0.995158,0.09829
0.000274,-0.999756,0.022064
-2.3e-05,-0.992673,0.120832
-0.000207,-0.992908,0.118882
0.000178,-0.992664,0.120909
-4.2e-05,-0.992341,0.123529
-0.000427,-0.999586,0.028767
